,RMSE (mean),RMSE (1.96*std),RMSE,NLPD (mean),NLPD (1.96*std),NLPD
"DNN{8,50,25,1}",5.3407936096191415,0.6381690454483032,5.3408\pm0.6382,3.79037356376648,0.03968745552003384,3.7904\pm0.0397
"VIBayesNN{8,50,25,1}",6.449251651763916,0.1747882878780365,6.4493\pm0.1748,3.2528395652770996,0.08492925837635994,3.2528\pm0.0849
"VIFourAct{8,50,25,1}",7.081871032714844,0.5373742151260376,7.0819\pm0.5374,3.458866596221924,0.2636483532190323,3.4589\pm0.2636
"MCDropout{8,50,25,1}",6.474797248840332,0.8159755098819732,6.4748\pm0.8160,3.5086045265197754,0.057168408334255225,3.5086\pm0.0572
"MCFourAct{8,50,25,1}",6.692537784576416,0.5608575212955474,6.6925\pm0.5609,3.345740556716919,0.17193322837352756,3.3457\pm0.1719
