,RMSE (mean),RMSE (1.96*std),RMSE,NLPD (mean),NLPD (1.96*std),NLPD
"DNN{4,50,25,1}",4.188910961151123,0.17484905153512956,4.1889\pm0.1748,3.786151885986328,0.004063131017610432,3.7862\pm0.0041
"VIBayesNN{4,50,25,1}",4.154168128967285,0.18971605360507965,4.1542\pm0.1897,5.696419715881348,0.4985625207424164,5.6964\pm0.4986
"VIFourAct{4,50,25,1}",4.250945091247559,0.1722608497738838,4.2509\pm0.1723,3.9566473960876465,0.2825658714771271,3.9566\pm0.2826
"MCDropout{4,50,25,1}",4.584071159362793,0.4732087278366089,4.5841\pm0.4732,3.4344191551208496,0.05094371125102043,3.4344\pm0.0509
"MCFourAct{4,50,25,1}",3.935157060623169,0.31925897181034085,3.9352\pm0.3193,3.572192430496216,0.5052839946746827,3.5722\pm0.5053
