,ERRT (mean),ERRT (1.96*std),ERRT,AUC (mean),AUC (1.96*std),AUC
"DNN{23,50,25,2}",0.4029411673545837,0.060019448325037965,0.4029\pm0.0600,0.7467128038406372,0.04589601248502731,0.7467\pm0.0459
"VIBayesNN{23,50,25,2}",0.4882352352142334,0.0,0.4882\pm0.0000,0.49757784605026245,0.0,0.4976\pm0.0000
