,RMSE (mean),RMSE (1.96*std),RMSE,NLPD (mean),NLPD (1.96*std),NLPD
"DNN{5,50,25,1}",1.7844030857086182,0.14265117675065994,1.7844\pm0.1427,2.8878540992736816,0.02669915445148945,2.8879\pm0.0267
"VIBayesNN{5,50,25,1}",2.8703644275665283,0.650997142791748,2.8704\pm0.6510,2.3753833770751953,0.25427538752555845,2.3754\pm0.2543
"VIFourAct{5,50,25,1}",3.815825939178467,0.9678801548480988,3.8158\pm0.9679,2.8026785850524902,0.3992712587118149,2.8027\pm0.3993
"MCDropout{5,50,25,1}",3.65114164352417,0.4402318632602691,3.6511\pm0.4402,2.9988396167755127,0.2419198915362358,2.9988\pm0.2419
"MCFourAct{5,50,25,1}",2.0464484691619877,0.3451091253757477,2.0464\pm0.3451,2.1813454627990723,0.14575862228870393,2.1813\pm0.1458
